Experiment ID,Tokenizer,Task,Vocab Size,BLEU Score,Accuracy,F1 Score,Tokens/Sample,Chars/Token,UNK Rate,ROUGE-1,ROUGE-2,ROUGE-L
bpe_machine_translation_1765355097,BPE,machine_translation,19810,28.422327700733124,--,--,31.105,4.087751180917718,0.0,,,
bytelevel_machine_translation_1765355098,Byte-Level BPE,machine_translation,21792,29.122327700733123,--,--,32.383,3.934558635954528,0.0,,,
wordpiece_machine_translation_1765355097,WordPiece,machine_translation,21360,28.222327700733125,--,--,31.554,4.032658669226175,0.0,,,
mct_machine_translation_1765355096,MCT,machine_translation,17152,29.682862948138663,--,--,53.387,2.494543337616199,0.1604323149830483,,,
mct_machine_translation_1765354612,MCT,machine_translation,17152,29.682862948138663,--,--,53.387,2.494543337616199,0.16086313147395434,,,
bpe_summarization_1765355144,BPE,Abstractive Summarization,32000,--,--,--,1896.064,5.1949339517521675,0.0,0.3718637974803603,0.20053552881033623,0.30265359696838634
bytelevel_summarization_1765355150,Byte-Level BPE,Abstractive Summarization,32000,--,--,--,2035.063,4.845420410891003,0.0,0.3718637974803603,0.20053552881033623,0.30265359696838634
wordpiece_summarization_1765355146,WordPiece,Abstractive Summarization,32000,--,--,--,1902.449,5.177848205022645,0.0,0.3718637974803603,0.20053552881033623,0.30265359696838634
mct_summarization_1765355141,MCT,Abstractive Summarization,18939,--,--,--,4299.713,2.3150498650918774,0.1778362881429528,0.4162768738061978,0.21417044672332175,0.35971459595195454
mct_morphological_awareness_1765354593,MCT,morphological_awareness,89,--,0.8553559410325545,0.8110730273322198,29.0,2.8131279593311254,0.46798029556650245,,,
